store_location,ts,forecast_orders,baseline_orders,delta_orders,suggestion
Astoria,2023-06-04 18:00:00,31.797768240775408,17.465554163876867,14.332214076898541,hold
Astoria,2023-06-04 19:00:00,32.72153201282544,18.719190458474014,14.002341554351428,+1 barista
Astoria,2023-06-05 11:00:00,30.634657977638625,16.291937207232728,14.342720770405897,+1 barista
Astoria,2023-06-05 12:00:00,29.463268883973175,15.897175139997882,13.566093743975292,+1 barista
Astoria,2023-06-05 13:00:00,35.55475856799025,16.697368519527977,18.85739004846227,+1 barista
Astoria,2023-06-05 14:00:00,34.82337823750943,15.993198345541494,18.830179891967937,+1 barista
Astoria,2023-06-05 15:00:00,35.56206335331638,16.852072572903793,18.70999078041259,+1 barista
Astoria,2023-06-05 16:00:00,27.192435173437897,16.95343040097761,10.239004772460287,hold
Astoria,2023-06-05 17:00:00,35.72379723708434,17.849646986051315,17.874150251033026,hold
Astoria,2023-06-05 18:00:00,32.74776749805341,17.465554163876867,15.282213334176546,+1 barista
Astoria,2023-06-05 19:00:00,36.791484311139556,18.719190458474014,18.072293852665542,+1 barista
Astoria,2023-06-06 11:00:00,35.280392780063,16.291937207232728,18.988455572830276,+1 barista
Astoria,2023-06-06 12:00:00,24.41076008724585,15.897175139997882,8.513584947247969,hold
Astoria,2023-06-06 13:00:00,34.87430867325068,16.697368519527977,18.176940153722704,hold
Astoria,2023-06-06 14:00:00,23.71313790779328,15.993198345541494,7.719939562251785,hold
Astoria,2023-06-06 15:00:00,26.122043608669934,16.852072572903793,9.26997103576614,hold
Astoria,2023-06-06 16:00:00,30.896099359474704,16.95343040097761,13.942668958497094,hold
Astoria,2023-06-06 17:00:00,29.458273361924956,17.849646986051315,11.60862637587364,+1 barista
Astoria,2023-06-06 18:00:00,30.944918240138232,17.465554163876867,13.479364076261366,+1 barista
Astoria,2023-06-06 19:00:00,32.78142551710705,18.719190458474014,14.06223505863304,+1 barista
Astoria,2023-06-07 07:00:00,31.526075730674968,26.51307397509714,5.013001755577829,hold
Astoria,2023-06-07 08:00:00,27.751114884335415,29.073692789593444,-1.3225779052580293,hold
Astoria,2023-06-07 09:00:00,24.525262593074196,28.35885337054656,-3.833590777472363,hold
Astoria,2023-06-07 10:00:00,21.22186959313767,31.388918967700516,-10.167049374562847,hold
Astoria,2023-06-07 11:00:00,26.497180965814866,16.291937207232728,10.205243758582139,hold
Astoria,2023-06-07 12:00:00,22.657706090737868,15.897175139997882,6.760530950739986,hold
Astoria,2023-06-07 13:00:00,26.433635635636062,16.697368519527977,9.736267116108085,hold
Astoria,2023-06-07 14:00:00,25.012727881280956,15.993198345541494,9.019529535739462,hold
Astoria,2023-06-07 15:00:00,22.689676293499527,16.852072572903793,5.837603720595734,hold
Astoria,2023-06-07 16:00:00,20.810831337149548,16.95343040097761,3.8574009361719384,hold
Astoria,2023-06-07 17:00:00,28.477427020218226,17.849646986051315,10.62778003416691,hold
Astoria,2023-06-07 18:00:00,19.901564221414333,17.465554163876867,2.436010057537466,hold
Astoria,2023-06-07 19:00:00,31.590890868471075,18.719190458474014,12.87170040999706,hold
Astoria,2023-06-08 07:00:00,27.90939955642792,26.51307397509714,1.3963255813307818,hold
Astoria,2023-06-08 08:00:00,25.071078803687637,29.073692789593444,-4.002613985905807,hold
Astoria,2023-06-08 09:00:00,35.61096646121185,28.35885337054656,7.2521130906652935,hold
Astoria,2023-06-08 10:00:00,24.519145107953374,31.388918967700516,-6.869773859747141,hold
Astoria,2023-06-08 11:00:00,28.07450306693925,16.291937207232728,11.782565859706523,hold
Astoria,2023-06-08 12:00:00,22.769233082016687,15.897175139997882,6.872057942018804,hold
Astoria,2023-06-08 13:00:00,32.400421566999334,16.697368519527977,15.703053047471357,hold
Astoria,2023-06-08 14:00:00,23.611151214850462,15.993198345541494,7.617952869308969,hold
Astoria,2023-06-08 15:00:00,25.677358790481247,16.852072572903793,8.825286217577453,hold
Astoria,2023-06-08 16:00:00,30.161162051505308,16.95343040097761,13.207731650527698,hold
Astoria,2023-06-08 17:00:00,29.957337072492454,17.849646986051315,12.107690086441139,+1 barista
Astoria,2023-06-08 18:00:00,19.651210290949585,17.465554163876867,2.1856561270727184,hold
Astoria,2023-06-08 19:00:00,30.25086734532982,18.719190458474014,11.531676886855806,hold
