store,hour,resid
Astoria,7,74.90212568448824
Astoria,8,89.14038194092312
Astoria,9,81.99055920916373
Astoria,10,45.95096182950001
Astoria,11,37.82052481167152
Astoria,12,40.34583063318507
Astoria,13,33.46769781851263
Astoria,14,32.37590651292016
Astoria,15,32.87232986507252
Astoria,16,34.53165472737396
Astoria,17,40.483311141647164
Astoria,18,40.110915262398485
Astoria,19,67.76299477144059
Hell's Kitchen,6,61.21941529943991
Hell's Kitchen,7,54.592935394334816
Hell's Kitchen,8,99.33487100205717
Hell's Kitchen,9,98.62713238475583
Hell's Kitchen,10,73.83090489583309
Hell's Kitchen,11,35.230876770974184
Hell's Kitchen,12,41.0328293693244
Hell's Kitchen,13,39.1413126058695
Hell's Kitchen,14,27.737858938776753
Hell's Kitchen,15,32.48956301857199
Hell's Kitchen,16,33.98496682574527
Hell's Kitchen,17,34.13947979427223
Hell's Kitchen,18,31.18884513850105
Hell's Kitchen,19,63.20192486631274
Hell's Kitchen,20,165.9795699250419
Lower Manhattan,6,50.37538488614061
Lower Manhattan,7,76.7984931898301
Lower Manhattan,8,70.11609242901359
Lower Manhattan,9,83.15275005394837
Lower Manhattan,10,33.06535665247253
Lower Manhattan,11,31.035331154050116
Lower Manhattan,12,30.79835123779746
Lower Manhattan,13,38.40009747763644
Lower Manhattan,14,41.13503483129508
Lower Manhattan,15,29.530505677109126
Lower Manhattan,16,35.453013279825036
Lower Manhattan,17,28.616561537955402
Lower Manhattan,18,91.7594550281731
Lower Manhattan,19,71.48711854330254
Lower Manhattan,20,98.59677494669681
